Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
13,915,923,67334.4,67072.0,-3411.1999999999243,-0.0038969679688242165,2024-03-21 06:45:00,2024-03-21 08:45:00,0 days 02:00:00
-13,924,925,66606.52,67082.0,-6181.239999999947,-0.007138640481442193,2024-03-21 09:00:00,2024-03-21 09:15:00,0 days 00:15:00
12,926,928,67322.376,66881.0,-5296.512000000046,-0.006556156009704717,2024-03-21 09:30:00,2024-03-21 10:00:00,0 days 00:30:00
-13,929,984,66241.252,66195.0,601.2759999999107,0.0006982355949430863,2024-03-21 10:15:00,2024-03-22 00:00:00,0 days 13:45:00
-13,985,986,65902.93,66258.0,-4615.910000000091,-0.005387772592205131,2024-03-22 00:15:00,2024-03-22 00:30:00,0 days 00:15:00
12,987,993,66456.648,66334.0,-1471.7760000000126,-0.0018455339486879163,2024-03-22 00:45:00,2024-03-22 02:15:00,0 days 01:30:00
-13,994,1067,66173.388,64109.0,26837.04400000008,0.031196649625979678,2024-03-22 02:30:00,2024-03-22 20:45:00,0 days 18:15:00
13,1068,1070,64270.284,63920.0,-4553.6919999999955,-0.005450170408458077,2024-03-22 21:00:00,2024-03-22 21:30:00,0 days 00:30:00
-13,1071,1079,63748.248,64016.0,-3480.7760000000053,-0.004200146802465943,2024-03-22 21:45:00,2024-03-22 23:45:00,0 days 02:00:00
-13,1080,1082,63776.192,64012.0,-3065.5039999999644,-0.003697429912403738,2024-03-23 00:00:00,2024-03-23 00:30:00,0 days 00:30:00
13,1083,1094,64223.19,64403.0,2337.5299999999697,0.0027997674983133436,2024-03-23 00:45:00,2024-03-23 03:30:00,0 days 02:45:00
13,1095,1097,64607.958,64231.0,-4900.453999999983,-0.0058345444070527774,2024-03-23 03:45:00,2024-03-23 04:15:00,0 days 00:30:00
-13,1098,1099,64277.188,64504.0,-2948.555999999975,-0.003528654676057119,2024-03-23 04:30:00,2024-03-23 04:45:00,0 days 00:15:00
13,1100,1104,64636.014,64339.0,-3861.182000000037,-0.004595178161821756,2024-03-23 05:00:00,2024-03-23 06:00:00,0 days 01:00:00
-13,1105,1106,64301.14,64590.0,-3755.1800000000076,-0.004492299825477497,2024-03-23 06:15:00,2024-03-23 06:30:00,0 days 00:15:00
13,1107,1115,64723.188,64370.0,-4591.444000000025,-0.005456900546987886,2024-03-23 06:45:00,2024-03-23 08:45:00,0 days 02:00:00
13,1116,1139,64742.226,64840.0,1271.061999999969,0.0015102044838557482,2024-03-23 09:00:00,2024-03-23 14:45:00,0 days 05:45:00
13,1140,1152,65056.854,64755.0,-3924.1019999999917,-0.00463984932317818,2024-03-23 15:00:00,2024-03-23 18:00:00,0 days 03:00:00
-13,1153,1178,64526.688,64331.0,2543.944000000025,0.0030326676614799153,2024-03-23 18:15:00,2024-03-24 00:30:00,0 days 06:15:00
13,1179,1182,64446.636,64324.0,-1594.2679999999818,-0.0019029077018076768,2024-03-24 00:45:00,2024-03-24 01:30:00,0 days 00:45:00
-13,1183,1187,64081.58,64424.0,-4451.459999999977,-0.005343501205806733,2024-03-24 01:45:00,2024-03-24 02:45:00,0 days 01:00:00
13,1188,1224,64741.224,65286.0,7082.087999999974,0.008414669453886026,2024-03-24 03:00:00,2024-03-24 12:00:00,0 days 09:00:00
-13,1225,1227,64781.178,65475.0,-9019.686000000002,-0.010710240557836093,2024-03-24 12:15:00,2024-03-24 12:45:00,0 days 00:30:00
12,1228,1273,65519.778,67539.0,24230.66400000002,0.030818511015101357,2024-03-24 13:00:00,2024-03-25 00:15:00,0 days 11:15:00
12,1274,1275,67788.306,67548.0,-2883.6719999999623,-0.0035449477082374337,2024-03-25 00:30:00,2024-03-25 00:45:00,0 days 00:15:00
-12,1276,1293,67313.104,67378.0,-778.7519999999204,-0.0009640916276865141,2024-03-25 01:00:00,2024-03-25 05:15:00,0 days 04:15:00
-13,1294,1302,67007.716,67158.0,-1953.6919999999955,-0.0022427864874545733,2024-03-25 05:30:00,2024-03-25 07:30:00,0 days 02:00:00
